個案研判日,新增確診人數,累積確診人數
2022-03-01,44,20533
2022-03-02,49,20582
2022-03-03,71,20653
2022-03-04,64,20717
2022-03-05,80,20797
2022-03-06,43,20840
2022-03-07,29,20869
2022-03-08,53,20922
2022-03-09,77,20999
2022-03-10,82,21081
2022-03-11,82,21163
2022-03-12,62,21225
2022-03-13,63,21288
2022-03-14,75,21363
2022-03-15,39,21402
2022-03-16,90,21492
2022-03-17,91,21583
2022-03-18,75,21658
2022-03-19,126,21784
2022-03-20,121,21905
2022-03-21,98,22003
2022-03-22,88,22091
2022-03-23,97,22188
2022-03-24,139,22327
2022-03-25,136,22463
2022-03-26,103,22566
2022-03-27,203,22769
2022-03-28,127,22896
2022-03-29,96,22992
2022-03-30,163,23155
2022-03-31,238,23393
2022-04-01,236,23629
2022-04-02,404,24033
2022-04-03,279,24312
2022-04-04,273,24585
2022-04-05,281,24866
2022-04-06,359,25225
2022-04-07,531,25756
2022-04-08,507,26263
2022-04-09,573,26836
2022-04-10,574,27410
2022-04-11,630,28040
2022-04-12,626,28666
2022-04-13,927,29593
2022-04-14,981,30574
2022-04-15,1283,31857
2022-04-16,1348,33205
2022-04-17,1302,34507
2022-04-18,1476,35983
2022-04-19,1727,37710
2022-04-20,2476,40186
2022-04-21,3057,43243
2022-04-22,3857,47100
2022-04-23,4198,51298
2022-04-24,5170,56468
2022-04-25,5218,61686
2022-04-26,6336,68022
2022-04-27,8916,76938
2022-04-28,11508,88446
2022-04-29,12307,100753
2022-04-30,15130,115883
2022-05-01,17072,132955
2022-05-02,17853,150808
2022-05-03,23134,173942
2022-05-04,28476,202418
2022-05-05,29984,232402
2022-05-06,36167,268569
2022-05-07,46414,314983
2022-05-08,42288,357271
2022-05-09,40233,397504
2022-05-10,50819,448323
2022-05-11,57132,505455
2022-05-12,65415,570870
2022-05-13,65000,635870
2022-05-14,63954,699824
2022-05-15,68719,768543
2022-05-16,61714,830257
2022-05-17,65802,896059
2022-05-18,85082,981141
2022-05-19,89420,1070561
2022-05-20,85730,1156291
2022-05-21,84606,1240897
2022-05-22,79474,1320371
2022-05-23,66269,1386640
2022-05-24,82379,1469019
2022-05-25,89361,1558380
2022-05-26,81891,1640271
2022-05-27,94796,1735067
2022-05-28,80636,1815703
2022-05-29,76569,1892272
2022-05-30,60083,1952355
2022-05-31,80628,2032983
2022-06-01,88248,2121231
2022-06-02,76930,2198161
2022-06-03,76505,2274666
2022-06-04,68128,2342794
2022-06-05,62077,2404871
2022-06-06,53010,2457881
2022-06-07,82990,2540871
2022-06-08,80070,2620941
2022-06-09,72846,2693787
2022-06-10,68293,2762080
2022-06-11,79616,2841696
2022-06-12,50567,2892263
2022-06-13,45100,2937363
2022-06-14,66138,3003501
2022-06-15,68931,3072432
2022-06-16,63133,3135565
2022-06-17,55222,3190787
2022-06-18,53666,3244453
2022-06-19,50623,3295076
2022-06-20,35619,3330695
2022-06-21,56366,3387061
2022-06-22,52218,3439279
2022-06-23,48320,3487599
2022-06-24,45736,3533335
2022-06-25,40368,3573703
2022-06-26,39642,3613345
2022-06-27,28576,3641921
2022-06-28,44417,3686338
2022-06-29,42025,3728363
2022-06-30,38920,3767283
2022-07-01,35766,3803049
2022-07-02,34807,3837856
2022-07-03,32672,3870528
2022-07-04,23115,3893643
2022-07-05,35984,3929627
2022-07-06,34561,3964188
2022-07-07,31433,3995621
2022-07-08,30446,4026067
2022-07-09,28122,4054189
2022-07-10,27839,4082028
2022-07-11,19128,4101156
2022-07-12,31273,4132429
2022-07-13,29861,4162290
2022-07-14,27639,4189929
2022-07-15,25271,4215200
2022-07-16,25266,4240466
2022-07-17,24322,4264788
2022-07-18,17989,4282777
2022-07-19,27127,4309904
2022-07-20,27172,4337076
2022-07-21,25151,4362227
2022-07-22,24062,4386289
2022-07-23,22568,4408857
2022-07-24,21726,4430583
2022-07-25,17124,4447707
2022-07-26,25048,4472755
2022-07-27,25661,4498416
2022-07-28,23949,4522365
2022-07-29,23271,4545636
2022-07-30,21486,4567122
2022-07-31,21063,4588185
2022-08-01,16576,4604761
2022-08-02,23533,4628294
2022-08-03,23892,4652186
2022-08-04,22942,4675128
2022-08-05,21841,4696969
2022-08-06,19850,4716819
2022-08-07,22042,4738861
2022-08-08,15407,4754268
2022-08-09,23635,4777903
2022-08-10,23773,4801676
2022-08-11,22874,4824550
2022-08-12,21951,4846501
2022-08-13,21265,4867766
2022-08-14,21074,4888840
2022-08-15,15782,4904622
2022-08-16,23132,4927754
2022-08-17,24816,4952570
2022-08-18,23400,4975970
2022-08-19,22795,4998765
2022-08-20,22130,5020895
2022-08-21,22380,5043275
2022-08-22,16903,5060178
2022-08-23,26343,5086521
2022-08-24,28531,5115052
2022-08-25,27227,5142279
2022-08-26,26718,5168997
2022-08-27,25853,5194850
2022-08-28,26735,5221585
2022-08-29,20424,5242009
2022-08-30,31440,5273449
2022-08-31,34580,5308029
2022-09-01,34077,5342106
2022-09-02,33777,5375883
2022-09-03,32758,5408641
2022-09-04,34340,5442981
2022-09-05,24078,5467059
2022-09-06,36666,5503725
2022-09-07,41249,5544974
2022-09-08,35053,5580027
2022-09-09,34200,5614227
2022-09-10,35801,5650028
